prolific_id,ramp_orientation,ramp_or_cube,orientation,predicted_further,predicted_direction,response,ramp_color,cube_color,feature,orientation_flip,guess,motion_mechanism,outcome_line,repeat_prior,memory_generic
6672e054134a9cac8d3fd303,forward,cube,reversed,black,left,The black cube seems to go further than the red.,False,True,cube_feature,False,False,False,False,False,False
6672e054134a9cac8d3fd303,forward,cube,reversed,blue,left,I guessed for this one too. But logically they would end up on the left side of the ramp.,False,False,neither,False,True,False,False,False,False
5cfff88a6775b90001e484f2,forward,cube,consistent,yellow,right,I think the yellow ramp is steeper/ gives more force than the blue ramp,True,False,ramp_feature,False,False,True,False,False,False
5cfff88a6775b90001e484f2,forward,cube,consistent,red,right,"I believe that the red cube travels further than the black cube, even in the same conditions",False,True,cube_feature,False,False,False,False,False,False
5cfff88a6775b90001e484f2,forward,cube,reversed,yellow,left,I think the yellow ramp is steeper than the blue ramp,True,False,ramp_feature,False,False,False,False,False,False
5cfff88a6775b90001e484f2,forward,cube,reversed,red,left,"I believe that the red cube travels further than the black cube, on average",False,True,cube_feature,False,False,False,False,False,False
664218e510e790cd8414d32c,forward,cube,consistent,red,left,They're high up,False,False,neither,False,False,True,False,False,False
664218e510e790cd8414d32c,forward,cube,consistent,blue,right,They will slide down,False,False,neither,False,False,True,False,False,False
664218e510e790cd8414d32c,forward,cube,reversed,yellow,left,they will slide down ,False,False,neither,False,False,True,False,False,False
664218e510e790cd8414d32c,forward,cube,reversed,black,left,They will slide down ,False,False,neither,False,False,True,False,False,False
6670367508b5f9d3de8b288e,backward,ramp,consistent,black,right,I have no idea! Just felt like it.,False,False,neither,False,True,False,False,False,False
