trial,element,block_noise_sd,ramp_noise_sd,block_noise_down,ramp_noise_down,block_noise_up,ramp_noise_up,final_position_down,final_position_up,agent_valid,physics_valid,ramp_valid
b,blue_ramp,0.0,1.7,0.0,1.7205160731619857,0.0,0.7587280688574765,778.109607029219,1077.1196759766963,False,False,False
b,blue_ramp,0.0,1.7,0.0,2.292215111369811,0.0,1.2876321768897385,645.1007515338838,897.8304957383373,False,False,False
b,blue_ramp,0.0,1.7,0.0,2.7541657223001104,0.0,0.7123505454012944,645.1010084080104,1097.9764783091755,False,False,False
b,blue_ramp,0.0,1.7,0.0,-0.028094703007358942,0.0,3.313879472484657,1064.1459842274262,627.410703857348,True,True,False
b,blue_ramp,0.0,1.7,0.0,3.676223999288847,0.0,2.2590599016820065,645.1028600532773,603.5398826001872,False,False,False
b,blue_ramp,0.0,1.7,0.0,3.80935621346137,0.0,0.2784573774222242,645.1026729218808,344.76897931626684,False,False,True
b,blue_ramp,0.0,1.7,0.0,0.2733982851997141,0.0,1.5993179719119366,1016.0378697838657,816.8826793481647,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.723983604845126,0.0,1.4308747634746084,943.5994890583357,856.2403977967905,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.562962596173565,0.0,3.258576975709952,812.5678827040138,624.2597132620078,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.0849951052401918,0.0,2.012752199205428,883.7125758173368,596.4000745844987,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.2155857401873722,0.0,1.0973860449600852,863.4860807515977,958.0131062858576,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.1112267388910464,0.0,1.2923036222805848,877.1130736577509,893.5723805256231,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.0835349946016515,0.0,0.6610506215176146,645.0471578021785,455.51991781302263,False,False,True
